column,count,mean,std,min,p01,p05,median,p95,p99,max
perp_close,46152,55473.80341458658,29178.002182318418,15637.9,16650.551,19353.865,48241.485,110689.26,118540.79099999998,125986.0
spot_close,46152,55482.595069552786,29188.59476025526,15649.52,16659.117299999998,19362.461,48229.384999999995,110731.27949999999,118562.91219999998,126011.18
funding_rate,46152,6.965963555208875e-06,5.542952303850406e-05,-0.00111953,0.0,0.0,0.0,3.1030499999999736e-05,0.0001,0.00248993
funding_rate_bps,46152,0.06965963555208875,0.5542952303848644,-11.195300000000001,0.0,0.0,0.0,0.3103049999999974,1.0,24.8993
perp_volume,46152,14196.690788048189,16312.086380659466,63.932,1211.61369,2241.22345,9168.9905,42229.309649999996,79669.89957,355275.447
spot_volume,46152,2998.1257469273914,4632.93938549398,0.0,159.7201929,291.9356225,1411.6537635,11271.312606449997,22651.48666119995,137207.1886
spread,46152,-8.791654966198632,33.45785020705675,-537.7000000000044,-60.98490000000078,-51.11999999999534,-12.319999999999709,57.89449999999703,91.39489999999682,936.7699999999968
spread_bps,46152,-1.5340914401496615,5.8162380024962745,-185.75498575498563,-7.593571633928343,-6.22068944616122,-3.8137675556637607,9.86648637080445,16.93274356587863,210.12258964197895
perp_return,46151,3.992655525950055e-05,0.006365444306703463,-0.09425389801040329,-0.019069457045055638,-0.008988249276233262,4.619546580841849e-05,0.009043183422015932,0.018836167769793022,0.1266526652046127
spot_return,46151,3.995671603907142e-05,0.00636588205612454,-0.08954470284237714,-0.019078491758459604,-0.009021471001158299,3.973177360272473e-05,0.009027095013245834,0.018794949951399187,0.12315895662199172
perp_rolling_vol_annualized,46150,0.5086123723106969,0.31091008297809297,0.042583376798792136,0.09555044523719765,0.15721833644283867,0.4464455606142882,1.088636141189641,1.6673162157795276,3.255836701677288
spot_rolling_vol_annualized,46150,0.50915884958059,0.310196598464182,0.04255015782269978,0.0963651047609501,0.1570194575325919,0.44754312518176986,1.0898630163826866,1.661654520331822,3.187371180104896
