column,missing_count,missing_pct
open_interest,46152,100.0
perp_rolling_vol_annualized,2,0.0043
spot_rolling_vol_annualized,2,0.0043
perp_return,1,0.0022
spot_return,1,0.0022
frequency,0,0.0
funding_event,0,0.0
funding_rate,0,0.0
funding_rate_bps,0,0.0
open_interest_was_missing,0,0.0
perp_close,0,0.0
perp_close_was_missing,0,0.0
perp_high,0,0.0
perp_low,0,0.0
perp_open,0,0.0
perp_volume,0,0.0
spot_close,0,0.0
spot_close_was_missing,0,0.0
spot_high,0,0.0
spot_low,0,0.0
spot_open,0,0.0
spot_volume,0,0.0
spread,0,0.0
spread_bps,0,0.0
symbol,0,0.0
timestamp,0,0.0
venue,0,0.0
